database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
crx,0.8745032840722494,0.8695429666119321,0.876747400109469,0.8752791461412152,0.8742077175697865,0.8798029556650245
ctg,0.9890096928824251,0.9884541373268695,0.9890096928824251,0.9884967086338087,0.9896269768330426,0.9890714212774869
dermatology,0.9956111111111113,0.9955,0.9956111111111113,0.9955,0.9960555555555557,0.9949444444444445
diabetes,0.7191623931623932,0.7380484330484329,0.7206011396011397,0.7264159544159543,0.7231623931623932,0.7286410256410257
diabetic_retinopathy,0.6981755684822843,0.6990843566993752,0.7099829602209297,0.704782400062675,0.7011315784319487,0.7038070196055389
diagnosis,1.0,1.0,1.0,1.0,1.0,1.0
ecoli,0.9728847789115646,0.9730208333333336,0.972376700680272,0.9749936224489796,0.9731802721088435,0.9737925170068028
ecstasy,0.7379639596351409,0.7415523540872692,0.7443200030731761,0.7574316663244636,0.7337691181044089,0.7464037962379606
faults,0.9556466792732946,0.9573134088514654,0.9576627098922469,0.9570968200614318,0.9576894787517272,0.9585076422576974
fertility,0.525,0.5194444444444444,0.5638888888888888,0.5083333333333331,0.5194444444444444,0.5694444444444444
flags,0.941517857142857,0.9369642857142857,0.9372619047619046,0.9383035714285715,0.9382738095238098,0.9369345238095239
flare,0.8733887387016847,0.8746688033596601,0.8809594609498029,0.8791739323833315,0.8746744038854013,0.8755630289006249
forest,0.9580031408649831,0.9597068191311611,0.9632998896814687,0.9612426632821369,0.9596322186656939,0.9604408590921748
gas,0.9987659662950723,0.9987788804345422,0.9987196407497102,0.9987681458713714,0.9988228162223395,0.9987476906471675
german,0.6619047619047619,0.668333333333333,0.638095238095238,0.6573809523809524,0.6533333333333335,0.6673809523809526
gesture,0.8518426295301593,0.8509098317170707,0.8472547757329915,0.8517180319426825,0.8532171354832296,0.85601258154221
haberman,0.5800752086078174,0.5917105841018886,0.5459129336846729,0.5658734079929734,0.5784447738252086,0.5822244180939833
hayes-roth,0.9289682539682541,0.9194444444444445,0.9289682539682541,0.9186507936507937,0.9289682539682541,0.919047619047619
heart,0.8308333333333333,0.8450000000000001,0.8474999999999999,0.8533333333333333,0.8300000000000001,0.8283333333333334
heart-c,0.8367970265029088,0.8255575307045897,0.8297329508726567,0.827422026502909,0.8403684550743374,0.8249272786037493
heart-h,0.8087692716640087,0.8131685273790538,0.7842690058479532,0.7990776182881446,0.8044869750132907,0.795132908027645
hepatitis,0.8357142857142857,0.7928571428571429,0.775,0.75,0.7428571428571429,0.7428571428571429
heroin,0.8563951226625914,0.8541315644615333,0.8562061581879126,0.8578501491176178,0.8562479665779353,0.8544864890400602
horse-colic,0.8201186494664755,0.8383152173913043,0.8184464086638,0.8300754499124062,0.8237806577480489,0.8305771221532089
housevotes,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549
ionosphere,0.9182096888618627,0.9227551434073173,0.92325681564812,0.9104768419985814,0.9209840883753927,0.9249290564507959
iris,0.9666666666666666,0.9733333333333334,0.9733333333333334,0.9666666666666666,0.9733333333333334,0.9700000000000001
ketamine,0.8696892358733205,0.8695145261684093,0.8714285714285716,0.871904761904762,0.86937177555586,0.8696976763515595
knowledge,0.9777039627039625,0.9787296037296036,0.9781206293706294,0.9777894327894326,0.9788150738150737,0.9751719114219114
kr-vs-k,0.9805992385709615,0.9805177343480407,0.9838971631155863,0.9840812274591615,0.9806601616733183,0.9811057918126508
leaf,0.9947222222222221,0.9945634920634919,0.9932142857142855,0.9938095238095238,0.9943253968253967,0.9941269841269842
led7digit,0.9331604136604137,0.9377159692159692,0.925734487734488,0.9292530062530064,0.9313826358826359,0.9421233766233763
legalh,0.7260671672321213,0.7294686030804841,0.7522062491592802,0.738057774602723,0.7356823266335382,0.7216364698603493
letter,0.9986465830795949,0.9986062624644306,0.9987354744590856,0.9986951587761735,0.998615557840219,0.9986271338516423
liver-disorders,0.706547619047619,0.7102380952380952,0.7065476190476191,0.7198809523809523,0.712857142857143,0.7182142857142858
lsd,0.7585508964068911,0.7734148462553219,0.7670173483871776,0.7693595443714049,0.7719642023083293,0.7718578171985717
lymphography,0.9514054232804234,0.9531415343915345,0.9585482804232803,0.9503637566137566,0.9404927248677251,0.9514054232804232
magic,0.8550709447617159,0.8550246113115307,0.8504531326643772,0.8521810703188286,0.8525458757784306,0.8543791182237607
mammographic,0.8115050779245335,0.8094411244361615,0.8099034384031547,0.8043275801528779,0.8099006360910785,0.8093247778408019
marketing,0.7328412082678206,0.7411856002958755,0.7343309319228586,0.7343805321856753,0.7286489730075647,0.7309353039527686
meth,0.8085174863499063,0.821522490476213,0.8426254301254301,0.8365830648225014,0.8265404470571645,0.8113375234794173
mfeat,0.9979707602339183,0.9981926575698505,0.9983099415204677,0.9978284600389864,0.9978040935672514,0.9979766081871343
ml-prove,0.845676566535721,0.8452056649729804,0.8417800319901593,0.8416536065319363,0.8445993226892353,0.845901581268431
movement_libras,0.9870634920634922,0.9871428571428572,0.9881746031746033,0.9878571428571428,0.9869047619047618,0.9864285714285714
mushrooms,0.7606975927944867,0.7609415660188636,0.7624475202050159,0.7597750131371177,0.7537359506467812,0.7600300975319323
musk1,0.8938522588522589,0.895585063085063,0.8966402116402115,0.9087118437118438,0.9013308913308917,0.9047466422466423
musk2,0.9413027677868351,0.9424722385627543,0.951130956488058,0.9446120740495294,0.9457339461987937,0.9452861747275293
newthyroid,0.9594444444444445,0.9497222222222221,0.9530555555555555,0.9530555555555555,0.9519444444444444,0.9508333333333333
nicotin,0.6964374907101255,0.7034834716312347,0.6986549700403082,0.7047150082881591,0.6936980883804557,0.7121005475030906
optdigits,0.9980528933214357,0.9978212239202622,0.9980055935343698,0.9978376516525937,0.9980077074049047,0.9979951938693027
ozone,0.5728947275112579,0.5789319841860797,0.5731030386838281,0.5697697275112579,0.5797767524731413,0.5851828706166013
page-blocks,0.9603697209332885,0.9604046205553992,0.9626853599249461,0.9623305938612573,0.9643151624171995,0.9639703154562144
parkinsons,0.8455952380952383,0.8489285714285716,0.8186904761904762,0.8322619047619048,0.8625,0.8489285714285716
penbased,0.9990699289153057,0.998928582510119,0.9991808457131901,0.9991409330470555,0.9989994456922513,0.9990071749931279
phishing,0.9673452916051408,0.9672367999884515,0.9665471006053723,0.9663171253157039,0.968037331497016,0.9671361330093777
phoneme,0.8887323608574299,0.8907394152590926,0.8930503681753535,0.8886998503410869,0.8956827879929454,0.8945501177898636
pima,0.7349116809116808,0.737977207977208,0.7372022792022792,0.7331310541310541,0.7274330484330485,0.737982905982906
ring,0.9483751270358448,0.9462149036690478,0.9540637787467338,0.955279048271868,0.9503975691748601,0.9506803037968339
