database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
faults,75.00942514053447,75.88981052996171,75.79180916819737,75.06234545650018,76.04108238656993,76.81511025901793
fertility,88.05050505050505,87.05050505050505,86.05050505050505,86.14141414141415,86.14141414141415,87.05050505050505
flags,69.61446117521969,70.03224192388278,68.83906010570095,67.92996919661006,68.92754167057572,69.81007051943583
flare,74.34289583167744,74.29327271189985,75.09440346122926,74.6358827294068,74.54386776684325,75.09945702904817
forest,89.11129672317243,89.51028297143725,89.49241804768997,90.08777584893011,89.32189684775702,89.89183970959775
gas,99.47523786432177,99.45367578871522,99.45371715736994,99.41775619653208,99.44652288305747,99.42498146581774
german,76.4,76.6,77.6,77.5,75.6,76.3
gesture,67.57823099660321,67.88212133523932,67.7705176593511,67.84172804775163,68.30731490558432,68.2059471323469
haberman,68.32594086021507,68.65927419354841,67.9717741935484,68.616935483871,68.30510752688174,68.98185483870971
hayes-roth,82.2483660130719,81.70179738562092,82.95669934640523,82.32679738562092,82.95669934640523,82.29003267973856
heart,84.44444444444447,84.0740740740741,84.81481481481484,84.0740740740741,83.33333333333336,84.0740740740741
heart-c,82.4964775676678,80.9173155357805,82.50797182054134,82.18539117538008,82.85205784204672,82.18539117538008
heart-h,83.36042692939245,84.02709359605913,84.03858784893269,84.71756978653531,83.02709359605912,83.33661740558293
hepatitis,90.3373015873016,88.90873015873015,91.4484126984127,88.90873015873017,90.3373015873016,84.98015873015873
heroin,85.1125501023968,85.26822198417163,85.21839687659036,85.10860866095538,85.32539076009041,85.16212350046403
horse-colic,86.37861545756284,85.81555239449976,84.74869606448553,85.00434645171485,85.26750434645173,85.27461672198513
housevotes,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377,96.6485507246377
ionosphere,93.43183940242764,93.43183940242764,93.14565826330531,93.42343604108308,93.43183940242764,93.44817927170868
iris,95.33333333333333,95.33333333333333,94.66666666666666,95.33333333333333,94.0,95.33333333333333
ketamine,79.15890624441482,79.26392629903165,79.05447883716545,79.05447883716545,79.1068229110815,79.21266968527503
knowledge,94.02289377289378,94.77289377289378,95.5467032967033,95.27838827838828,95.28479853479854,95.77289377289378
kr-vs-k,74.61120211081668,74.6826367824942,75.25940857391944,74.99542587604599,74.07667108754515,74.19048749414358
leaf,77.13552345205572,77.47734642895934,75.20403827057055,74.72725952363051,77.75716338619564,77.67772012933304
led7digit,56.954740543179604,58.34191920267715,56.907232406273906,56.56635458263747,58.81592461725982,60.26842465549839
