database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
cleveland,58.14608102918585,57.80589669738863,57.9274404761905,57.92663978494624,57.94019585253455,58.02522849462367
climate,92.78273299028012,92.78273299028012,94.0725493933041,93.51686678101768,93.69855790610504,93.33155453910169
cloud,35.51709401709401,38.58119658119658,36.24786324786325,36.923076923076934,38.85042735042735,37.75641025641026
cmc,53.97739681487169,55.32925087072766,54.38464079354426,54.58457895953793,54.3106626448278,54.51611099478814
coil2000,93.84489263452186,93.81495805865877,93.73617346055212,93.69301157392283,93.7982752666897,93.7785223415806
coke,56.34247850037324,56.028420081051664,55.86770719897654,56.55327998981251,55.971242602821555,56.71767887866959
column_2C,83.8709677419355,83.87096774193552,82.58064516129035,84.51612903225808,84.51612903225808,84.83870967741937
column_3C,86.45161290322582,85.48387096774196,84.51612903225808,86.12903225806453,84.1935483870968,85.80645161290325
contraceptive,54.321164500279025,54.70276922146202,54.23780977495894,54.55120497120326,54.2857030712118,54.69527291014506
crack,86.1081127399535,86.16102279286355,86.2673969306513,86.32030698356137,86.47682101442092,86.3186448876584
credit-g,76.1,76.5,76.3,76.6,76.8,76.5
crx,87.25103292540793,87.34952068764568,87.32820949883448,87.39501748251747,87.34108537296036,87.4391448135198
ctg,98.87208429684243,98.91947766177134,99.01359999866285,99.06032897062548,98.91947766177134,99.01359999866285
dermatology,97.69441004471959,97.75058479532159,97.59626762985894,97.62805297557615,97.77688338493293,97.7225662194702
diabetes,76.43882433356116,77.34791524265208,76.1773752563226,76.30724538619273,76.1773752563226,75.65618591934381
diabetic_retinopathy,70.10944527736132,69.41529235382309,70.71739130434784,71.24062968515742,69.7631184407796,69.4985007496252
diagnosis,100.0,100.0,100.0,100.0,100.0,100.0
ecoli,85.30022641993979,85.08650384856828,85.36631769770729,85.1814864426246,84.56097195074973,84.65153669872025
ecstasy,55.61032238531239,54.909489272538664,55.5490526406327,55.02373935677364,55.18599337458825,55.919786395940186
faults,75.31053757094875,75.6207063546774,74.90106688001849,75.88500595351988,75.93162288427406,76.03834185255391
fertility,88.05050505050505,88.05050505050505,86.05050505050505,87.05050505050505,87.05050505050505,86.14141414141415
flags,72.09264862244738,70.21254729962159,68.98946117521969,65.53617834693685,70.58955655627483,70.42254198330049
flare,74.50697860025139,74.69462444961584,75.10579150761369,75.01570643407672,74.76510965902517,74.83567280317497
forest,89.71377703153506,88.92944686340914,89.31128028053665,89.87325415571806,89.3143553696273,89.11449766166746
gas,99.4536655041583,99.46090104305867,99.4465384212867,99.43217573271517,99.43937512703708,99.45372231451854
german,76.044,76.03200000000001,76.352,76.36399999999999,76.23400000000001,76.20399999999998
gesture,67.5984530692307,68.03373745699325,67.69999650461253,67.51710175346379,68.48971748830522,68.4189691269744
haberman,68.02065860215056,68.92635752688173,68.45125000000002,69.2512231182796,68.33380376344088,68.97625000000002
hayes-roth,82.75299019607843,81.56444444444446,82.41111111111111,81.50890522875821,82.77733660130718,81.76763071895425
heart,83.84444444444443,83.7851851851852,83.77037037037039,83.51111111111113,84.1925925925926,83.64444444444449
heart-c,84.16462736373751,82.84130515387469,82.87430478309236,83.49721913236931,81.86206896551724,83.50871338524288
heart-h,84.05090311986864,83.68226600985221,82.6584564860427,83.97947454844005,83.36042692939245,82.6584564860427
hepatitis,88.37738095238096,88.48015873015875,90.62579365079365,90.39523809523807,89.48690476190478,89.34920634920638
heroin,85.21671676906348,85.21671676906348,85.2167167690635,85.3242467589464,85.16438483437861,85.05656733946435
horse-colic,85.28251936146671,84.45669353564092,85.53066224118854,84.46380591117436,86.08661292871821,86.09333017227755
housevotes,96.64855072463769,96.656884057971,96.64855072463769,96.64855072463769,96.66521739130432,96.66521739130434
ionosphere,93.68948646125115,93.72087768440711,93.64565826330531,93.60364145658262,93.63376283846874,93.58964519140991
iris,95.12,95.24,94.96,95.08000000000007,95.0933333333333,95.28000000000002
ketamine,79.26475301860837,79.26475301860837,79.05447883716545,79.15919374944615,79.05420036320277,79.05641968527503
