database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
mammographic,81.20126704810635,80.95603401513412,81.07788151993093,80.47683745846267,81.07648219440583,80.95600026669499
marketing,34.52780409668814,34.847498534665476,34.67283130153869,34.86249287479354,34.2962830877673,34.528909489773156
meth,75.70625307458103,76.02400080099748,76.07919594645492,75.86724676498649,75.49569325291051,75.91926701012501
mfeat,98.2,98.4,98.5,98.1,98.05,98.2
ml-prove,64.78896876263404,64.72147254883643,64.16736484602532,64.28127372813904,64.77140221924472,64.98368883041468
movement_libras,84.10447431004921,84.46302748741776,85.1261545268514,84.38819755544493,83.45594823295171,82.93667385653448
mushrooms,54.86365288467216,55.018119398879925,54.798612876948745,55.340133872896786,54.06038160605548,55.286109640940516
musk1,89.91886370644465,90.12276441566452,90.35807893925377,91.39974560592044,90.76125501079247,90.96053037311131
musk2,98.02972719488251,98.09040223051963,98.33287252586423,98.18128839931803,98.16613702329923,98.2267430839053
newthyroid,94.93506493506493,94.004329004329,95.36796536796535,95.34632034632033,94.91341991341992,94.45887445887446
nicotin,40.36300777202414,40.21442949039998,39.726059495025154,39.264788255735354,39.0532920420404,40.06551209234485
optdigits,98.2754190139323,98.08018675171971,98.24125561684018,98.0982661602889,98.24011336371248,98.22209784111601
ozone,94.23827456350564,94.2776446422458,94.27733341632691,94.1992157106844,94.43590302200369,94.3570072515639
page-blocks,97.44297412995633,97.38802712906565,97.5705474587888,97.4970190286709,97.55243006230779,97.4792360942647
parkinsons,90.7514619883041,91.2514619883041,89.7251461988304,89.7514619883041,92.30701754385966,91.2514619883041
penbased,99.16335900152907,99.03596056885567,99.26347652481844,99.22727718937192,99.09982900246037,99.10869704439583
phishing,96.81605789938854,96.83419020628868,96.75270943862918,96.75271762106476,96.88846431633914,96.8160251399997
phoneme,91.41307538904582,91.35796558769887,91.57998268296659,91.1731229581771,91.8208955906342,91.63546977819487
pima,77.21633629528364,77.48291182501707,77.61107313738891,77.0881749829118,76.69856459330143,77.61278195488721
ring,94.81094930236729,94.59460493457358,95.40525250204048,95.52691079480483,95.02723891022444,95.05426588789597
saheart,66.88251618871415,68.17761332099904,68.83441258094356,68.82978723404254,67.53006475485662,69.70397779833488
seeds,93.8095238095238,92.38095238095237,92.85714285714285,93.33333333333333,92.85714285714285,92.85714285714285
segment,97.92278215502908,97.96457935427516,97.92240407604838,98.00898416262847,98.13848919477047,97.96645027729984
seismic-bumps,93.03477896501153,93.07338900362159,93.30564784053156,93.2668881506091,93.1899673760139,93.18951842207655
sensor-readings,99.5969660698037,99.54191970403997,99.59683139919119,99.59699979889167,99.57854986354216,99.54215531617703
shuttle,99.97758887946445,99.97758798782266,99.98448454005953,99.98793281633161,99.98276099686377,99.97931272059171
sonar,84.58874458874456,85.10822510822508,85.58874458874459,85.58874458874459,84.13636363636363,84.13636363636365
spambase,95.48057194524009,95.29940909497736,95.6140158216806,95.50947972285319,95.72199280508202,95.46767737060966
spectfheart,81.28713878713879,80.54538054538054,82.81033781033781,83.1929181929182,83.20818070818072,82.39723239723239
spectrometer,67.27332216843872,67.62523524898664,66.67782207515839,64.78323518057148,67.42246061169479,67.64581786446381
splice,96.08253843340853,96.30148312011147,96.30177948338273,96.02033541279543,96.23986972213986,96.30276714003314
tae,60.4957264957265,62.17948717948717,62.84615384615383,62.38461538461537,61.72649572649571,63.71794871794871
texture,97.81818181818183,97.78181818181818,98.36363636363636,98.29090909090908,98.09090909090911,98.03636363636362
thoraric-surgery,84.25531914893618,84.25531914893618,84.04255319148936,85.10638297872342,84.68085106382979,84.46808510638297
thyroid,99.61114878006043,99.66670444278353,99.70831331934387,99.62509556622322,99.66662728214088,99.69440511350243
tic-tac-toe,98.85409884246698,98.95828811720021,98.95936200036172,98.95936200036172,98.95936200036172,98.74883568457226
titanic,79.47747473934933,79.41686867874327,79.47747473934933,79.47747473934933,79.47747473934933,79.35699281163849
transfusion,73.3245103450583,72.7802674720483,72.88450124066563,72.69327113505194,73.45584030515536,72.77090879830605
twonorm,97.10830580159687,96.9327393496612,96.58140608710369,96.74371434157061,96.5812598467324,96.91915298741733
urban_land,84.65977969374822,85.11106978944953,86.16307053856133,85.701256262079,85.52721573500725,86.25358663885734
vehicle,75.03587629449335,76.79634315849364,76.58373158118636,76.81372259966044,76.22512190164011,76.34556884621284
voice_rehabilitation,81.81318681318683,82.64652014652017,82.70146520146521,80.2014652014652,80.32967032967034,80.32967032967034
vowel,97.57575757575759,97.37373737373737,98.1818181818182,98.0808080808081,97.57575757575759,97.7777777777778
vsa,76.5601799072426,76.93284950873036,77.14396517665891,77.0916091557165,76.93031314285744,76.98379810975497
waveform-1,85.46097876536084,85.20125724454707,85.1814977274367,84.92129475987784,85.10133756583218,84.92081427506433
waveform-2,84.80087072029562,84.80075000459365,85.14003303312019,84.94079295711606,84.68131016396576,84.78019223184464
wdbc,95.96113127646701,95.96123930515945,96.48777115201797,96.13052026618269,96.31524933022209,96.31211649814189
wholesale,91.40310077519379,91.40791637303265,91.39276485788113,91.38747944561898,91.1599718111346,91.39252995066948
wine,98.88544891640866,97.80357757137942,98.35913312693498,98.88544891640866,97.80357757137942,97.80357757137942
wisconsin,97.06715781705286,97.21641154839615,97.21428026109861,97.51059281597132,97.20775915817336,97.36347037192554
yeast,62.467090007296825,63.070491188190054,62.51033295102275,62.93009432279257,64.15159195489079,63.47007702924252
zoo,92.95202020202021,93.78535353535355,96.14646464646465,96.97979797979798,92.0429292929293,94.12626262626263
