database,FW10100G,FW10100GP,FW10100H,FW10100HP,FW10100Q,FW10100QP
cleveland,0.0010466613857641632,0.001042829151593078,0.0009761939743236058,0.0009958896698593297,0.0009840298883490653,0.0009930600545389949
climate,3.330570687862576e-05,3.540563990747156e-05,5.974082983481619e-05,6.818753304132743e-05,4.4432663751107406e-05,4.266754237714606e-05
cloud,2.750960420653592e-08,3.244744157131635e-08,2.1528482297721262e-08,2.555820663079877e-08,2.6627093793084592e-08,3.1727330971755514e-08
cmc,0.004701549847986916,0.004633606406395112,0.004947772315694187,0.004876434773009983,0.004827059594816811,0.004742758795349577
coil2000,6.975057555631896e-05,6.793294378886154e-05,6.788554435787998e-05,6.605430239563491e-05,6.937428024529645e-05,6.752517946015438e-05
coke,0.0011125610229676221,0.0011017657844193118,0.001035709180116377,0.001025085828411107,0.001190950269489445,0.001171283443533149
column_2C,2.8928743222832764e-08,3.8532616528586565e-08,3.90473500839953e-08,3.965829936566419e-08,3.713438879120155e-08,2.9648149353674775e-08
column_3C,4.000924078356604e-08,3.8490801768971995e-08,4.2540076563430475e-08,3.617763880142151e-08,3.4064887253003396e-08,4.1799039679839594e-08
contraceptive,0.00469981317414914,0.004659292621522168,0.0049359673832399965,0.004846285032223433,0.004806434693260699,0.00474244835679595
crack,0.0008592072456694164,0.0008514503342529886,0.0007873463890067569,0.0007838118029592098,0.0009035099515222143,0.000900126229822736
credit-g,0.0005250482274079106,0.0005260621892212956,0.0005407395765062217,0.0005410709101689793,0.0005291649361842464,0.0005323312576399209
crx,0.0010832078972503449,0.0010741233405460581,0.0011712167682005141,0.0011780575902415832,0.0010943597951027088,0.0010923859394168691
ctg,0.00012693773988361258,0.0001256859100895365,0.0001170102616463867,0.00011601282296754752,0.0001203822242660385,0.00012134873021202452
dermatology,9.240336954325062e-05,8.806034268716775e-05,9.650117936394463e-05,8.53050061715971e-05,9.523720841395894e-05,9.094871329139021e-05
diabetes,0.0001954978843623144,0.00020386544428557641,0.0002345259181259039,0.000233092364827275,0.00020946587426418035,0.00021569863192316208
diabetic_retinopathy,0.0004958417895810728,0.00048777165688287146,0.0004917851357759716,0.0004894734188237863,0.0004897098425380252,0.0004875172603094868
diagnosis,3.6202007182040697e-06,1.936026918414214e-06,2.486286644084158e-06,2.0936880273929363e-06,2.7530353547600607e-06,1.683882680902768e-06
ecoli,0.005262451662453253,0.0051151798466812295,0.005890908059918288,0.005779442838797996,0.005309846460018057,0.005235791180494785
ecstasy,0.001169745139007277,0.001164963407626179,0.001139714511784339,0.0011394012533609572,0.001233843433267942,0.001228527330408031
