database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
choc,0.7960908136355582,0.7980448042852779,0.8052673305728082,0.8084538317910726,0.8079140147252002,0.7962025324900112
cleveland,0.713892857142857,0.7375595238095238,0.6867916666666666,0.6994136904761903,0.7369553571428573,0.7163303571428572
climate,0.5650000000000001,0.584,0.5954795918367347,0.6589795918367347,0.605,0.63
cloud,0.6902777777777777,0.6791666666666666,0.6972222222222222,0.7243055555555556,0.6979166666666667,0.709722222222222
cmc,0.6814621131422424,0.6867628553517421,0.6758263237788432,0.6853118553401237,0.680462858637252,0.6839231191984897
coil2000,0.5123830614250927,0.5178470200853329,0.5186945949660899,0.518513503677336,0.518280037771872,0.5209558920306899
coke,0.7611998183691879,0.7579352175754649,0.7753228412787886,0.7796209737043504,0.7584084207769493,0.7597993434478979
column_2C,0.8004761904761907,0.7978571428571429,0.8126190476190477,0.8076190476190478,0.8202380952380952,0.8178571428571427
column_3C,0.905925925925926,0.9015079365079366,0.8972222222222219,0.9031018518518519,0.9048148148148147,0.9048148148148145
contraceptive,0.6784077179989243,0.6813920865547438,0.6697713444096701,0.6783948827834979,0.6689205788727209,0.6800476098896817
crack,0.8766886341820612,0.8768868665462785,0.8809523809523812,0.8785714285714287,0.8743222888709307,0.8761612620508327
credit-g,0.6533333333333332,0.6595238095238095,0.6661904761904762,0.6630952380952381,0.6564285714285714,0.671904761904762
crx,0.8705747126436778,0.8758921729611385,0.8753585112205802,0.872483579638752,0.8775985221674876,0.8738724685276409
ctg,0.9890096928824251,0.9884541373268696,0.9890522641893643,0.9890522641893643,0.9884775515456861,0.9896269768330426
dermatology,0.9930000000000001,0.9938333333333336,0.9934444444444445,0.9946666666666666,0.9946666666666667,0.9942222222222226
diabetes,0.7222393162393161,0.7330484330484328,0.7268603988603989,0.7351965811965812,0.7249373219373221,0.7234928774928777
diabetic_retinopathy,0.6932839767318878,0.6943656109838023,0.7088709677419354,0.7116090839649806,0.710182247292242,0.7087382729106686
diagnosis,1.0,1.0,1.0,1.0,1.0,1.0
ecoli,0.9719621598639456,0.9724468537414965,0.9730357142857142,0.9731250000000001,0.9730229591836734,0.9712159863945578
ecstasy,0.749356551102315,0.7494906824842726,0.7473529799780306,0.7576811484602805,0.7374243220036177,0.7426273911236057
faults,0.9558685108459288,0.9579241659067718,0.9596130730659373,0.9579534509765564,0.958436607470801,0.9589577442382003
fertility,0.5638888888888888,0.5583333333333331,0.5527777777777776,0.5527777777777776,0.5527777777777776,0.5583333333333331
flags,0.9400297619047621,0.9418452380952382,0.9390178571428571,0.9358928571428571,0.9407738095238095,0.9399107142857144
flare,0.8722407005706241,0.882614419788619,0.8819244237027588,0.8778402120798644,0.881333371422852,0.8838077369266293
forest,0.9597618228577982,0.9615998112582863,0.9596452067669172,0.962071242239586,0.9613899331662491,0.9621319792536898
gas,0.9988422855847862,0.9987935072205483,0.9987867405794143,0.9987000697704012,0.9987567304279972,0.9987176958699291
german,0.6533333333333332,0.668095238095238,0.6733333333333335,0.6783333333333335,0.6504761904761905,0.6630952380952381
gesture,0.8527750033474764,0.854564667425174,0.8512083413766363,0.8510108827762795,0.8574166116179139,0.858078741663131
haberman,0.5782718489240228,0.5805445761967502,0.5799763943785683,0.560858585858586,0.5823479358805447,0.5787412165129557
hayes-roth,0.9261904761904762,0.9242063492063494,0.9293650793650794,0.9265873015873016,0.9293650793650794,0.9265873015873017
heart,0.8391666666666667,0.8358333333333334,0.8416666666666666,0.8341666666666665,0.8258333333333331,0.8383333333333333
heart-c,0.8200044440853264,0.8047592113768584,0.8193741919844859,0.8171541693600517,0.8224991919844861,0.8171541693600517
heart-h,0.8042238171185542,0.8133147262094631,0.8094869750132908,0.8190324295587456,0.7977644869750133,0.8056831472620946
hepatitis,0.7845238095238096,0.7345238095238096,0.75,0.7345238095238096,0.7428571428571429,0.6273809523809525
heroin,0.853704977159946,0.8540181857767261,0.856115783873936,0.8550723713398402,0.8541465378421899,0.8521215963142158
horse-colic,0.841886645962733,0.8375388198757763,0.8242823299888519,0.8277631788501354,0.830121237458194,0.8299370918936138
housevotes,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549,0.9675116550116549
ionosphere,0.9184896625114017,0.9203836019053412,0.9144218100739842,0.9165957231174623,0.9220558427080168,0.92048241613459
iris,0.9766666666666668,0.9766666666666668,0.9733333333333334,0.9766666666666668,0.9700000000000001,0.9766666666666668
ketamine,0.8695305057145901,0.8677844739685584,0.8714285714285716,0.8714285714285716,0.8646098707939551,0.8676501638342483
knowledge,0.9778642191142192,0.980812937062937,0.9807915695415694,0.9811227661227662,0.9811761849261849,0.9824582362082361
kr-vs-k,0.9790206155405095,0.9781424398755172,0.9824593101736971,0.9820201515763325,0.9789241197198436,0.9787522079267387
leaf,0.9946031746031743,0.9946428571428572,0.994126984126984,0.9938888888888888,0.9946428571428572,0.9947222222222223
led7digit,0.931141895141895,0.9317530062530063,0.9300863395863397,0.928419672919673,0.9338826358826356,0.9361233766233766
legalh,0.7253054988717438,0.7278379669221634,0.7489250724576023,0.7457951839127068,0.7236997435438755,0.7342184611131772
letter,0.9986354792986077,0.9986494183713083,0.9986777540476645,0.9986365256130402,0.9985988073740597,0.9985409285644854
liver-disorders,0.7192857142857143,0.7073809523809524,0.7032142857142857,0.7048809523809523,0.7111904761904763,0.7184523809523811
lsd,0.7837638774317429,0.7710751438492158,0.7726667251762251,0.7621958541068192,0.7617236639273945,0.7634170563658451
lymphography,0.9416832010582012,0.9409887566137567,0.9607804232804231,0.9583498677248677,0.9432109788359788,0.9441137566137566
magic,0.8568712292592039,0.854367269200315,0.8525271753776396,0.8526181054594757,0.8544247936691723,0.8536843567344679
