database,RP100G,RP100GP,RP100H,RP100HP,RP100Q,RP100QP
splice,1.4947637699143058e-05,1.6100317832244052e-05,1.965998679059922e-05,2.103464720511883e-05,1.905079048458688e-05,2.06274225028552e-05
tae,0.02190342426276979,0.02129413665301073,0.02072920329323786,0.021095490700674468,0.021074067608975337,0.021261526932621976
texture,4.115239812107169e-05,4.1367016568753516e-05,4.710650711605308e-05,4.693131920881921e-05,4.4632445582071615e-05,4.384664643597056e-05
thoraric-surgery,0.004168396921434439,0.004121346883099428,0.004538806289950711,0.004495226893275338,0.004264032505611618,0.00425754861445538
thyroid,0.003125528056775737,0.003120611362718839,0.003070436059193596,0.003084236876708459,0.003136980812292972,0.003124315002551583
tic-tac-toe,0.00032646402142823033,0.0003175559200443715,0.0003259329386409198,0.00034602108584356567,0.0003266900301430899,0.00032713010279484807
titanic,0.03402814948161644,0.02901218930657464,0.03453810631049392,0.027193963655310988,0.03562206304354249,0.027828650713236786
transfusion,0.01587027314488864,0.01625944386483206,0.017482509580236887,0.01770875418997384,0.017103193096883802,0.017215143186910673
twonorm,2.131506554572514e-06,2.284422891298355e-06,3.6464534705524977e-06,3.3999322995264837e-06,2.8454716905543836e-06,2.281855069557969e-06
urban_land,6.652546534888569e-06,6.9363418778772154e-06,8.695874758811221e-06,9.225882843933538e-06,7.566988393412903e-06,7.694701430466371e-06
vehicle,0.00015309721498186308,0.0001560825340379193,0.0001829487853386708,0.0001748459054824692,0.0001616422663779874,0.0001641547685947078
voice_rehabilitation,5.44151617023811e-06,5.760179739040281e-06,5.685204817652051e-06,5.898422492972038e-06,5.608466894409761e-06,5.633232023748867e-06
vowel,0.001197915867358242,0.001199113504818291,0.001310608040208014,0.001308267679067631,0.001184516536399874,0.0011968358252127799
vsa,0.0014490221225418928,0.001449776129738308,0.0013835707393802452,0.001391029020469725,0.001606903277068062,0.0015875987483307621
waveform-1,5.389021408469208e-05,5.481769619897706e-05,8.32225156726212e-05,8.586089805754773e-05,6.565611464713149e-05,6.917359533647934e-05
waveform-2,4.808449638004358e-05,4.9836111466998414e-05,7.295531269581855e-05,7.436911157168497e-05,5.859479890645066e-05,6.090493473576643e-05
wdbc,0.00022710876401312556,0.00024304086130729012,0.00023902223115323637,0.00026195389295569093,0.0002310181078444442,0.00023625565149336492
wholesale,0.0026505751788121878,0.002569368773891332,0.0034414350265886485,0.0036185221525597234,0.002883495547854764,0.0031050529003746183
wine,0.001439762396545692,0.0014905932327323329,0.002091613702895263,0.002167965437361453,0.001743460123392357,0.0017761410951873003
wisconsin,0.0012132890669484988,0.0012854836403189758,0.001411549202639654,0.0013715743100775168,0.0013563784389081662,0.0013258934424819607
yeast,0.0062898874919124674,0.006248949507779971,0.006246893345967152,0.006225092121740625,0.006415036126876867,0.006391823732974063
zoo,0.0011699148613150516,0.001220820010232378,0.001271492642916482,0.001331766164065518,0.0009991722444158424,0.001150770565717369
