database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
flare,0.004649289214952296,0.0045354109911995046,0.0045000845471176885,0.0045000453674692645,0.004790049200354554,0.004711162950285521
forest,0.0001184678202363749,0.00012268285399366348,9.447888505961571e-05,9.408082744033692e-05,0.00010966104159662368,0.00011656469398853568
gas,4.829268396577493e-06,4.764942056850072e-06,5.798899371527602e-06,5.9515767647871095e-06,5.061769381445209e-06,5.140584544482014e-06
german,0.0008701357700937613,0.0008810183447989332,0.000918509609759419,0.0009307453661595326,0.0008931932618062389,0.0009052874775354796
gesture,6.0504131731404905e-06,6.337628601314514e-06,5.643113291334295e-06,6.092456586702661e-06,6.57815019250299e-06,6.807599059610619e-06
haberman,0.008804453665641655,0.008267074212670242,0.01007900066233935,0.009507724292057622,0.009152218705926037,0.008688771989722668
hayes-roth,0.0011121340578278576,0.003465384164507277,0.0013886281599534542,0.0040049784756833575,0.001053807385501664,0.0034817797793489998
heart,0.0017127468475339447,0.0017205214830549188,0.0017746317777824123,0.0017609403016553493,0.0017001287364701587,0.001690028292029741
heart-c,0.001631479671234258,0.0016488312469441252,0.001675587361643931,0.0017021913236684582,0.0016127150166493202,0.001636768595760025
heart-h,0.0031515171391046605,0.00309729902643328,0.003321592177492955,0.0033260801082965292,0.003277346314642321,0.0031795260889219664
hepatitis,0.001954552992124148,0.00197946270965071,0.0018824466529189887,0.0019379405063045451,0.0018938149610736698,0.0019445248716730328
heroin,0.00135963279278584,0.001318325685256036,0.0013760211966112822,0.0013744977052868041,0.001460829060346772,0.001450709765934957
horse-colic,0.0005820411831105132,0.0005996846434734265,0.0006149923303600725,0.0006103221517993959,0.0006119271740268457,0.0006128230140752514
housevotes,0.0011094658183814089,0.0012339971142984543,0.0010487685255803389,0.0011609915857532659,0.001095308318020705,0.0012153472926360437
ionosphere,0.00013895463056926978,0.00014260688712104344,0.00010707547195237536,0.0001101187363941991,0.00012219435793709758,0.00012513711320181667
iris,0.02114539303527283,0.022139040382212483,0.020596572821604365,0.02174554927136382,0.021860493765865678,0.023169560572712355
ketamine,0.001529213089324036,0.0015252285013004968,0.0015165775795309572,0.0015220960136393597,0.001612855647464099,0.001595346345620953
knowledge,0.007754311923160924,0.007991392475048016,0.011869532440882518,0.01189687690089371,0.010705059292868942,0.011048893311472522
kr-vs-k,0.011272089334585164,0.011821243514014196,0.006881875246850797,0.007026788054398953,0.012330518809900558,0.012877161811789925
leaf,0.0002270269946420955,0.000238565309142307,0.000277595912900573,0.0002797344450245881,0.00024981466367500997,0.0002594581786593202
led7digit,0.0006203228379155605,0.00045346183506363586,0.0010083580606414975,0.0010009674865158584,0.00087124275882882,0.0006494782884306919
legalh,0.001662143712949191,0.001656171829216866,0.001544690195688235,0.0015538050621517181,0.0017289895754219679,0.001708627745661177
letter,0.00012784328510357943,0.00013473774859564674,0.00018597963189188928,0.0001918054514271846,0.00013828772234021402,0.00014632692850132076
liver-disorders,0.0006592392432767326,0.0006316986596913408,0.0007568381448088454,0.0007875281836687325,0.0006969761417778486,0.0007006207602125842
lsd,0.0016223988689498907,0.00161539090310612,0.0014801956104237139,0.001466860436050108,0.0016822250422128108,0.001680215072085402
lymphography,0.0010080566286647852,0.0010164699899025856,0.0009416601290654696,0.0009419814253980001,0.0009679393616497202,0.0009749036651153341
magic,6.734200602309957e-05,6.999443795534061e-05,6.758072353522197e-05,6.99755343957698e-05,6.960164945724519e-05,7.231697761479148e-05
mammographic,0.0322612735027957,0.030389553416458107,0.03268322892673101,0.030584854315017448,0.03256833552229552,0.0306542479941794
marketing,0.0011189639357463796,0.0011046272494786313,0.0010397300566620693,0.001028178746913234,0.0011370197283665595,0.0011241326200747232
meth,0.00160481620172396,0.00160468608545393,0.0015946303843198642,0.0015829534021821572,0.001655427071120034,0.001639942512038538
mfeat,7.57019827341648e-07,7.622822141411196e-07,8.784463768712024e-07,8.941169736331813e-07,7.769215663145192e-07,7.74294674684893e-07
ml-prove,9.41446220307472e-05,9.230120152193348e-05,9.298218862634729e-05,9.129918546544408e-05,9.651906907190927e-05,9.463225660702001e-05
movement_libras,3.8945138710801325e-06,3.8922460024336745e-06,4.285279717680917e-06,4.294825422762915e-06,4.39040068319143e-06,4.442446403227972e-06
mushrooms,0.0016532904765582189,0.001656722017862313,0.001457276464202297,0.001456137545761194,0.0017211313150745412,0.001713558489880862
musk1,4.9801478690523e-06,4.862318543682558e-06,5.13819840349082e-06,5.608020123678495e-06,4.680477888323439e-06,4.579787068704408e-06
musk2,7.177169328678701e-06,7.328086930401889e-06,5.748298754739505e-06,5.5870245489998035e-06,5.869600126326456e-06,6.320635780143137e-06
newthyroid,0.005930106109497942,0.0061590715927610055,0.010262920049795876,0.010590201539434827,0.008419144596202983,0.008670899047656201
nicotin,0.001612494261580878,0.001612181705481944,0.0015879963568406403,0.0015681389643395082,0.0017081173836460638,0.00169931956646616
optdigits,0.00010563361401841434,0.0001055900881511978,0.00011018940344633686,0.00011031955921813682,0.00011075815859746483,0.00011095835904052651
ozone,1.2423883760104336e-05,1.2607525988392794e-05,1.4450612989969062e-05,1.563485750992585e-05,1.231234550074244e-05,1.211961388950183e-05
page-blocks,0.0004987760096842581,0.0005028340924537685,0.0005200497143835968,0.0005303430820435766,0.0004992493952135819,0.0005059344799836007
parkinsons,0.00028929159308634404,0.0002787954077946851,0.0003249804652887456,0.00031383342382272454,0.00030730414090711204,0.0003149863364686621
penbased,4.4792104517524044e-05,4.413631572166321e-05,4.485832983647264e-05,4.4130670335158596e-05,4.6487877368437305e-05,4.579259460949955e-05
phishing,0.0002724062834350097,0.00026313183896854665,0.0002537777817634978,0.00024892211022845337,0.00026386071570538096,0.00026128687563976876
phoneme,0.00026756382495321843,0.0002722262688654007,0.0003933939724982301,0.0003959236095247627,0.0003504926963448832,0.00035329978927871856
pima,0.0012119622566163538,0.0012412961151188177,0.0013351296071551393,0.0013522372536378122,0.0012851839627131497,0.0013158863425869786
ring,3.310669809173523e-06,3.3610656222704325e-06,3.782400102980519e-06,3.899829204443411e-06,3.046510831607351e-06,3.0674117296348827e-06
