database,RFUT100G,RFUT100GP,RFUT100H,RFUT100HP,RFUT100Q,RFUT100QP
gas,0.998786637847189,0.9987899735961301,0.9987850387959878,0.9987373656037596,0.9987625362397223,0.9987830734610311
german,0.6517238095238094,0.6575619047619048,0.6587047619047617,0.6638952380952381,0.6556714285714286,0.6610190476190475
gesture,0.8498486755798409,0.8525139071288457,0.8505792901896989,0.851603760144575,0.8573346385095825,0.8568744876533444
haberman,0.5781911506368028,0.569985946420729,0.5750781181379007,0.5710870114185332,0.5769823232323232,0.5701086956521739
hayes-roth,0.9284047619047623,0.9236111111111114,0.9269841269841276,0.923388888888889,0.9285000000000002,0.9244523809523809
heart,0.8330000000000003,0.8334999999999997,0.8319833333333334,0.8304333333333332,0.8362999999999998,0.8317333333333333
heart-c,0.8361546541693599,0.8242970265029088,0.8231294440853263,0.8297329508726567,0.8141220911441499,0.8300884776987717
heart-h,0.8118553960659225,0.8125970228601809,0.7965922381711856,0.8127139819245082,0.804223817118554,0.8004199893673579
hepatitis,0.7466190476190476,0.7289761904761908,0.7493333333333336,0.7412857142857143,0.7436428571428573,0.7337619047619048
heroin,0.8541922692990237,0.8516790417857962,0.855866022133491,0.8563951226625914,0.8538522256728776,0.8540152565560906
horse-colic,0.8270514811275682,0.8205297419971332,0.8305323299888518,0.8220178372352285,0.8364618171683389,0.8380404921165789
housevotes,0.9675116550116555,0.9676025641025645,0.9675116550116555,0.9675116550116555,0.9676934731934737,0.9676934731934734
ionosphere,0.9227047481504006,0.9236930678017636,0.9194140062835716,0.9193087817979123,0.9207844582953283,0.9205901236444717
iris,0.9756000000000001,0.9762000000000002,0.9748000000000003,0.9754000000000004,0.9754666666666668,0.9764000000000002
ketamine,0.8697052154195013,0.870189846373931,0.8714285714285716,0.872074829931973,0.8693557960096792,0.8695227507068353
knowledge,0.9815608003108004,0.9791462703962704,0.9817637917637917,0.9817637917637917,0.982148407148407,0.9795095182595184
kr-vs-k,0.9784311341539125,0.9781967797089609,0.9821146489290546,0.9818893041900689,0.9788175262815513,0.9783726211885252
leaf,0.9952380952380953,0.9946031746031746,0.9944047619047618,0.9942063492063491,0.9945634920634919,0.9944841269841268
led7digit,0.9334441173641175,0.9354930062530064,0.9294075036075035,0.9294174170274171,0.9349481914381915,0.9368911544011543
legalh,0.7272720820540759,0.7267837546519831,0.7507906609360399,0.7410044011260356,0.7250142152993899,0.7187346422957777
letter,0.9986128627901313,0.9986065587800139,0.9986856026478492,0.9986802868186918,0.9985922857624636,0.9985886871559572
liver-disorders,0.7047619047619048,0.6952380952380952,0.7092857142857143,0.7113095238095238,0.7013095238095237,0.6998809523809526
lsd,0.7742424389439875,0.762644774308934,0.7773767659548689,0.7743149201281956,0.7682228973786828,0.7739817914330758
lymphography,0.94297123015873,0.9433277116402116,0.9624735449735452,0.962534391534392,0.9445330687830688,0.9441441798941799
magic,0.8549671934751041,0.8561732880683253,0.8514560983001378,0.8518502472538444,0.8532624250083306,0.8542506148818984
mammographic,0.8078645126002758,0.8081014274910193,0.8086420711449641,0.808558044999055,0.8081627427545037,0.809916000189072
marketing,0.733899637849302,0.734455879645245,0.7314365195452163,0.7318549963799118,0.7320801722686755,0.7337428677114319
meth,0.8012349343389842,0.8136588678210753,0.8400524475524476,0.8368087468087468,0.8230082286488812,0.8137459053354427
mfeat,0.9980877192982456,0.9982602339181288,0.9983099415204679,0.997909356725146,0.9983157894736842,0.998081871345029
ml-prove,0.8434085699384554,0.8463704320053569,0.8468351053844797,0.8450900964919571,0.8451713870858708,0.8431657215943501
movement_libras,0.9870079365079364,0.9872063492063495,0.9876793650793653,0.9875634920634921,0.9864603174603171,0.9864857142857143
mushrooms,0.7720944379222656,0.7744206216190801,0.7689579156235599,0.7640365532173176,0.7704119270713099,0.7716406769023162
musk1,0.8962596662596664,0.9031827431827433,0.9077757427757426,0.9079660154660155,0.8956328856328858,0.9019078144078143
musk2,0.9514892191306418,0.9537611483497486,0.9578763284298066,0.9612279623935821,0.9552089828865233,0.9534079963362551
newthyroid,0.9618611111111108,0.9611166666666668,0.9595333333333333,0.9585888888888887,0.964722222222222,0.9647277777777775
nicotin,0.704415679044875,0.7211712143151564,0.7179900057865346,0.6936139586595416,0.6948440407289572,0.7126236065348031
optdigits,0.9979647325067604,0.997980729706523,0.9979404260110372,0.9979625854422625,0.9980118044079122,0.998015909864844
ozone,0.5668539251143498,0.5728965003723011,0.5766517524731414,0.5820596434776445,0.5793539251143497,0.588099559444031
page-blocks,0.9622506345132336,0.9629939769295879,0.9625934888884334,0.9631076661067003,0.963428750469488,0.9642067760767294
parkinsons,0.8453571428571429,0.8353571428571429,0.8545238095238098,0.8486904761904764,0.8322619047619048,0.855357142857143
penbased,0.9990471309515562,0.9990394206274541,0.9991213772187743,0.999116040139653,0.9990212267915841,0.9989988923583266
phishing,0.9679574812118472,0.9678485722503061,0.9679142653143586,0.9681139940911002,0.9683619515304388,0.9675406033279689
phoneme,0.8915673932071448,0.8930864155334057,0.8922127695782619,0.8932435975834063,0.8929444528961435,0.894002036537354
pima,0.7327360683760683,0.7340076353276352,0.7355816524216524,0.735528319088319,0.7324850712250712,0.7340144159544159
ring,0.9478636276339768,0.9477890039758854,0.9524522898455825,0.9523871241476399,0.9506562189070583,0.9509273205567222
saheart,0.6195362903225806,0.6225853494623654,0.620524865591398,0.6204122311827956,0.6192030913978498,0.6202565860215051
seeds,0.965079365079365,0.968253968253968,0.9706349206349205,0.96984126984127,0.9738095238095237,0.976190476190476
segment,0.9968180675007052,0.996782806423122,0.9969424957935275,0.9969244614243549,0.9968629026610647,0.9968422282769416
seismic-bumps,0.5153717596225419,0.5008716315304287,0.5271356081954746,0.5061350070702811,0.5151651480522939,0.5092827951111174
sensor-readings,0.9977088698121165,0.9977112569846568,0.9978165974947025,0.9977417014976664,0.9981120980123649,0.9981008998687806
shuttle,0.9921184738072334,0.99183080440725,0.9968940251704178,0.9970035723022868,0.9901825223916725,0.9901539767422121
